0.00,25.20,9740
0.10,50.80,20850
0.00,40.80,9220
0.10,264.00,56639
0.00,74.50,23089
0.00,51.60,13874
0.20,20.10,9132
0.10,29.70,12706
0.50,2.90,3319
0.00,21.00,10595
0.00,30.20,9803
0.00,52.80,16722
0.10,69.30,19239
0.00,61.70,15351
